Id,SalePrice
1461,121703.36705955389
1462,151351.98061134954
1463,177890.65974552813
1464,193637.39502446144
1465,191650.39536876834
1466,170372.1980252142
1467,180666.23867982224
1468,165215.1591743076
1469,188003.43470327946
1470,122376.4857841215
1471,182478.5370302096
1472,98960.45733845193
1473,95875.89954812996
1474,145669.73275707028
1475,118898.9775011322
1476,365874.6638543681
1477,246434.76993740775
1478,290658.2933853449
1479,285431.83624566125
1480,485983.7897595202
1481,322164.88065782934
1482,214102.2617666132
1483,171731.96985858714
1484,166391.37314825243
1485,191085.6875679827
1486,191558.58745699376
1487,349153.5839528002
1488,235675.92791528231
1489,200444.5806016174
1490,229442.5342743408
1491,189356.66900223756
1492,87178.09748047023
1493,180685.67915145654
1494,288334.8693410108
1495,279368.50260692404
1496,233252.1403962894
1497,179659.01267272863
1498,169645.84001636333
1499,161971.1185199946
1500,157815.84154294123
1501,175251.3976482128
1502,150727.1027001431
1503,287778.31587910466
1504,243704.13126314935
1505,227055.38942746702
1506,185768.38168836015
1507,241050.28044545755
1508,195609.4146290889
1509,158195.6279046631
1510,144767.5209120096
1511,149310.31098483654
1512,169108.689602825
1513,148674.21860636125
1514,148486.70879950267
1515,185611.67344567744
1516,148353.8600980286
1517,164309.70606162824
1518,131214.14055679593
1519,216610.20494741428
1520,131963.06710628167
1521,132478.71446714617
1522,172138.6039669116
1523,112932.79859591826
1524,120841.27554381601
1525,122082.48688084747
1526,113116.97520069106
1527,107064.24649304035
1528,131645.81915991998
1529,151275.08094105351
1530,192547.86731506567
1531,110582.3002921073
1532,96644.67094409885
1533,144004.83238246263
1534,123235.96647840552
1535,139965.5908119707
1536,110100.79137872305
1537,64751.17183772838
1538,146230.18899260456
1539,189940.32634737913
1540,89614.18891834779
1541,142971.175576267
1542,135478.6945384062
1543,191481.8434424333
1544,85397.39274506146
1545,112211.3867155954
1546,138189.73545033357
1547,133703.05984143334
1548,139797.81997218716
1549,121836.74445888272
1550,136930.5981861442
1551,107780.28470491571
1552,141330.64928100415
1553,145242.68688541133
1554,121288.78344120386
1555,155535.49077954958
1556,84497.29347986911
1557,99994.08490136698
1558,99714.19003285508
1559,75337.35648749607
1560,128766.6187448267
1561,120906.9573130687
1562,132351.3394517023
1563,120867.60431419163
1564,156804.36259502574
1565,145602.47977678143
1566,239545.32183987528
1567,76873.53759913135
1568,233370.83541046194
1569,135773.4729560412
1570,141669.18240429682
1571,114906.63990594864
1572,139982.04511453919
1573,230010.97934203403
1574,110992.81999746956
1575,224129.15470332222
1576,245474.00011311908
1577,190819.87851479463
1578,143249.43295706774
1579,142545.5812562874
1580,195375.45333568257
1581,158514.62202934717
1582,128599.86294892192
1583,303075.07112855534
1584,222263.73287567723
1585,141466.67575927515
1586,72730.66486703607
1587,103341.25896544738
1588,152075.2487196072
1589,96178.03962183627
1590,131707.07784637896
1591,92368.19028773441
1592,111446.2907196373
1593,128258.26683683161
1594,134381.1762500501
1595,106046.82849151232
1596,228878.05678706357
1597,193874.57191648462
1598,214379.04548374977
1599,171175.1498427547
1600,164747.89413626236
1601,66799.5028110619
1602,114572.73960452748
1603,74694.02125083806
1604,258619.76138909726
1605,242820.67060013834
1606,167048.32260591432
1607,172314.79437604576
1608,217234.27825425897
1609,187632.9155191127
1610,153887.59508303532
1611,135094.14614870012
1612,167281.90478947392
1613,165762.36599605612
1614,126160.36754726371
1615,90968.49239356244
1616,75128.03602106219
1617,91056.91859209546
1618,129578.63721592909
1619,144614.24389562613
1620,158142.3781495627
1621,136343.41955668374
1622,146585.55818967818
1623,266928.9451596141
1624,205328.45243909291
1625,120883.79763846323
1626,166374.78578161294
1627,188343.4234197322
1628,280520.78252311866
1629,181362.51507848737
1630,343632.6294976125
1631,220969.9968248658
1632,233440.0918365945
1633,181398.4840770749
1634,188658.69889131107
1635,177735.19887615234
1636,155921.72442714137
1637,194203.36115639826
1638,182949.65335738123
1639,182122.46936303645
1640,252702.83822064303
1641,176868.49906906416
1642,239107.7121495417
1643,220197.82082112937
1644,238062.27691515593
1645,200592.790176236
1646,161935.87546643167
1647,155207.07305540255
1648,131484.4739181244
1649,141834.93713580866
1650,116221.07427218652
1651,123107.91377147222
1652,98692.29116726495
1653,101794.83435973694
1654,146028.319120977
1655,139910.07381981547
1656,142132.11361013856
1657,148889.72733126016
1658,148439.90342081073
1659,127263.93601998547
1660,156986.47941505344
1661,417290.135599841
1662,406876.37005816965
1663,379961.31046982924
1664,459702.40958229604
1665,306182.29867327714
1666,325429.9947202217
